0,1,2,3,4,5,6,7,8
Chips,Popcorn (süß),Erdnüsse,M&Ms,,,,,
Nachos,M&Ms,Lecker Bierchen,,,,,,
Chips,Popcorn (süß),Nachos,M&Ms,,,,,
Chips,Nachos,Schokolade,Erdnüsse,Kekse,M&Ms,Eiscreme,Bier,
Chips,Nachos,Kekse,Salzstangen,,,,,
Chips,Schokolade,,,,,,,
Chips,Nachos,,,,,,,
Chips,Popcorn (süß),Erdnüsse,Pistazien,,,,,
Chips,Nachos,,,,,,,
Gummibärchen,Obst,,,,,,,
Chips,Popcorn (süß),Nachos,,,,,,
Chips,Gummibärchen,Nachos,Schokolade,M&Ms,,,,
Popcorn (süß),Nachos,Eiscreme,,,,,,
Popcorn (salzig),Nachos,,,,,,,
Chips,Gummibärchen,Nachos,Erdnüsse,,,,,
Chips,Kekse,,,,,,,
Erdnüsse,,,,,,,,
Erdnüsse,Kekse,,,,,,,
Erdnüsse,,,,,,,,
Chips,Popcorn (süß),Nachos,,,,,,
Chips,Popcorn (süß),Erdnüsse,,,,,,
Erdnüsse,,,,,,,,
Popcorn (süß),Schokolade,M&Ms,,,,,,
Chips,Popcorn (salzig),Karotten,,,,,,
Chips,Nachos,Erdnüsse,,,,,,
Chips,Popcorn (süß),Gummibärchen,Kekse,M&Ms,Popcorn (ohne Zusatz),,,
Chips,Kekse,M&Ms,Eiscreme,,,,,
Chips,Popcorn (süß),Schokolade,Kekse,,,,,
Eiscreme,,,,,,,,
Gummibärchen,Eiscreme,,,,,,,
Chips,Nachos,M&Ms,Snacktomaten,,,,,
Nachos,,,,,,,,
Chips,Erdnüsse,,,,,,,
Chips,Gummibärchen,Nachos,Schokolade,Erdnüsse,Kekse,M&Ms,,
Chips,Salzstangen,Erdnussflips,,,,,,
Chips,Erdnüsse,Kekse,,,,,,
Kichererbsen,,,,,,,,
Nachos,Eiscreme,,,,,,,
Chips,Gummibärchen,Nachos,,,,,,
Käse-Cracker,,,,,,,,
Chips,,,,,,,,
Gummibärchen,Nachos,M&Ms,Saure Gummibaecht,,,,,
Chips,Popcorn (süß),Kekse,,,,,,
Popcorn (süß),Popcorn (salzig),,,,,,,
Popcorn (süß),Gummibärchen,Schokolade,Erdnüsse,,,,,
Gummibärchen,Nachos,Schokolade,Kekse,M&Ms,Eiscreme,,,
Chips,Erdnüsse,M&Ms,,,,,,
Chips,Popcorn (süß),Schokolade,Erdnüsse,,,,,
Chips,Popcorn (süß),Nachos,Schokolade,Kekse,,,,
Chips,M&Ms,,,,,,,
Chips,Nachos,Erdnüsse,,,,,,
Popcorn (salzig),,,,,,,,
Chips,Popcorn (süß),Schokolade,,,,,,
Chips,Popcorn (süß),M&Ms,,,,,,
Chips,Gummibärchen,Nachos,,,,,,
Chips,Popcorn (süß),Nachos,,,,,,
Chips,Schokolade,,,,,,,
Chips,,,,,,,,
Chips,Nachos,M&Ms,,,,,,
Popcorn (süß),Gummibärchen,,,,,,,
Schokolade,Kekse,,,,,,,
Chips,Popcorn (süß),Nachos,M&Ms,,,,,
Chips,Gummibärchen,,,,,,,
Popcorn (süß),Nachos,M&Ms,Eiscreme,,,,,
Chips,Popcorn (salzig),Nachos,Erdnüsse,,,,,
Chips,Erdnüsse,Kekse,,,,,,
Chips,Nachos,Erdnüsse,,,,,,
Chips,,,,,,,,
Popcorn (süß),Schokolade,M&Ms,,,,,,
Schokolade,Erdnüsse,,,,,,,
Chips,Popcorn (süß),Gummibärchen,Nachos,Schokolade,,,,
Chips,Gummibärchen,,,,,,,
Chips,,,,,,,,
Chips,Gummibärchen,Nachos,Schokolade,Eiscreme,,,,
Gummibärchen,Eiscreme,,,,,,,
Chips,Nachos,Erdnüsse,Flips,,,,,
Chips,Popcorn (salzig),,,,,,,
Chips,Nachos,,,,,,,
Gummibärchen,Nachos,,,,,,,
Nachos,Kekse,Salzstangen,,,,,,
Chips,,,,,,,,
Popcorn (süß),Erdnüsse,Kekse,M&Ms,Eiscreme,,,,
Schokolade,Eiscreme,,,,,,,
Chips,Popcorn (salzig),Erdnüsse,,,,,,
Chips,Popcorn (salzig),Nachos,Kekse,Eiscreme,,,,
Chips,Schokolade,,,,,,,
Chips,Gummibärchen,Nachos,Schokolade,Kekse,M&Ms,,,
Gummibärchen,Schokolade,,,,,,,
Chips,,,,,,,,
Schokolade,Eiscreme,,,,,,,
Popcorn (süß),,,,,,,,
Chips,,,,,,,,
Chips,Gummibärchen,Nachos,,,,,,
Popcorn (süß),Nachos,Erdnüsse,Kekse,,,,,
Chips,Eiscreme,,,,,,,
Chips,,,,,,,,
Chips,Gummibärchen,,,,,,,
Popcorn (süß),M&Ms,,,,,,,
Chips,Erdnüsse,,,,,,,
Chips,,,,,,,,
Chips,,,,,,,,
Popcorn (süß),,,,,,,,
Chips,Popcorn (süß),Nachos,,,,,,
Popcorn (süß),Schokolade,M&Ms,Eiscreme,,,,,
Eiscreme,,,,,,,,
Chips,Popcorn (süß),Schokolade,M&Ms,,,,,
Chips,Nachos,Erdnüsse,,,,,,
Chips,Popcorn (süß),Popcorn (salzig),Gummibärchen,Nachos,Erdnüsse,,,
Nachos,Schokolade,Kekse,,,,,,
Chips,Gummibärchen,,,,,,,
Nachos,Schokolade,Kekse,M&Ms,,,,,
Chips,Eiscreme,Softdrinks,,,,,,
Chips,Popcorn (süß),Popcorn (salzig),Gummibärchen,Nachos,Schokolade,Erdnüsse,Kekse,
Popcorn (salzig),,,,,,,,
Gummibärchen,Schokolade,Kekse,Eiscreme,,,,,
Popcorn (süß),Gummibärchen,Schokolade,Kekse,Eiscreme,,,,
Popcorn (süß),Nachos,,,,,,,
Chips,Popcorn (süß),,,,,,,
Gummibärchen,Nachos,,,,,,,
Schokolade,,,,,,,,
Popcorn (süß),M&Ms,,,,,,,
Chips,Gummibärchen,Nachos,Schokolade,,,,,
Chips,Schokolade,Eiscreme,,,,,,
Schokolade,,,,,,,,
Gummibärchen,M&Ms,,,,,,,
Popcorn (salzig),Schokolade,M&Ms,Eiscreme,,,,,
Chips,Erdnüsse,,,,,,,
Chips,Popcorn (süß),,,,,,,
Chips,Nachos,,,,,,,
Kekse,Eiscreme,,,,,,,
Chips,,,,,,,,
Chips,,,,,,,,
Eiscreme,,,,,,,,
Chips,,,,,,,,
Chips,Nachos,Kekse,,,,,,
Chips,Nachos,Schokolade,,,,,,
Salzstangen,Knabberbox,,,,,,,
Chips,Gummibärchen,,,,,,,
Chips,Erdnüsse,,,,,,,
Chips,Nachos,,,,,,,
Ich mag keine Snacks,,,,,,,,
Chips,Popcorn (süß),Gummibärchen,Kekse,,,,,
Chips,Gummibärchen,Schokolade,Erdnüsse,,,,,
Chips,Popcorn (salzig),Schokolade,,,,,,
Popcorn (salzig),Nachos,,,,,,,
Chips,Gummibärchen,Nachos,Schokolade,Kekse,,,,
Popcorn (süß),Nachos,Kekse,Eiscreme,,,,,
Chips,Popcorn (salzig),Nachos,,,,,,
Chips,Schokolade,,,,,,,
Chips,Popcorn (süß),Popcorn (salzig),Gummibärchen,Nachos,Kekse,Eiscreme,,
Chips,,,,,,,,
Chips,Popcorn (süß),Schokolade,M&Ms,,,,,
Chips,Popcorn (süß),Schokolade,M&Ms,,,,,
Chips,Popcorn (salzig),Gummibärchen,Nachos,,,,,
Chips,Popcorn (süß),M&Ms,,,,,,
Nachos,Toffiffee,,,,,,,
Chips,,,,,,,,
Keine ,,,,,,,,
Nachos,,,,,,,,
Chips,,,,,,,,
Chips,Gummibärchen,Nachos,Bier,,,,,
Schokolade,Kekse,,,,,,,
Chips,,,,,,,,
Chips,Popcorn (süß),M&Ms,,,,,,
Chips,Nachos,,,,,,,
Gummibärchen,Eiscreme,,,,,,,
Nachos,,,,,,,,
Chips,Erdnüsse,Kekse,,,,,,
Chips,Popcorn (süß),Gummibärchen,Schokolade,Erdnüsse,Kekse,,,
Salzstangen,,,,,,,,
Chips,Popcorn (süß),Gummibärchen,Schokolade,Erdnüsse,Kekse,Eiscreme,,
Chips,Schokolade,M&Ms,,,,,,
Chips,Popcorn (süß),Popcorn (salzig),Gummibärchen,Nachos,,,,
Chips,Gummibärchen,Schokolade,,,,,,
Popcorn (süß),Schokolade,Kekse,Coca Cola,,,,,
Chips,Gummibärchen,Erdnüsse,,,,,,
Chips,Popcorn (süß),Eiscreme,,,,,,
Nachos,,,,,,,,
Nachos,,,,,,,,
Chips,Popcorn (süß),Gummibärchen,Nachos,Schokolade,Erdnüsse,Kekse,M&Ms,Eiscreme
Chips,Popcorn (süß),Popcorn (salzig),Schokolade,,,,,
Chips,Popcorn (süß),Nachos,M&Ms,,,,,
Chips,Erdnüsse,,,,,,,
Chips,Nachos,Erdnüsse,M&Ms,,,,,
Chips,Gummibärchen,,,,,,,
Chips,,,,,,,,
Chips,Nachos,,,,,,,
Chips,Popcorn (süß),Gummibärchen,Nachos,Schokolade,Erdnüsse,Kekse,M&Ms,Eiscreme
Popcorn (süß),Nachos,Schokolade,,,,,,
Chips,Popcorn (salzig),Gummibärchen,,,,,,
